91 153
8.109972408907391e-01 2.172661608346290e-01 1.000000000000000e-02
8.269135086136763e-01 2.215301289576039e-01 1.000000000000000e-02
8.430685111768015e-01 2.258580541442651e-01 1.000000000000000e-02
8.594669126252827e-01 2.302511858923133e-01 1.000000000000000e-02
8.761134472749939e-01 2.347107925249709e-01 1.000000000000000e-02
8.930129210793354e-01 2.392381615571540e-01 1.000000000000000e-02
9.101702130167447e-01 2.438346000671859e-01 1.000000000000000e-02
9.275902764992849e-01 2.485014350741585e-01 1.000000000000000e-02
9.452781408027244e-01 2.532400139210499e-01 1.000000000000000e-02
9.632389125185190e-01 2.580517046637113e-01 1.000000000000000e-02
9.814777770281153e-01 2.629378964658322e-01 1.000000000000000e-02
1.000000000000000e+00 2.679000000000000e-01 1.000000000000000e-02
-5.000000000000000e-01 9.999999999998899e-04 1.000000000000000e-02
-4.919342798939039e-01 1.000939389836253e-03 1.000000000000000e-02
-4.838685570402430e-01 1.001880923791003e-03 1.000000000000000e-02
-4.758028314390163e-01 1.002824601866617e-03 1.000000000000000e-02
-4.677371030902222e-01 1.003770424065564e-03 1.000000000000000e-02
-4.596713719938588e-01 1.004718390390319e-03 1.000000000000000e-02
-4.516056381499247e-01 1.005668500843351e-03 1.000000000000000e-02
-4.435399015584183e-01 1.006620755427137e-03 1.000000000000000e-02
-4.354741622193381e-01 1.007575154144147e-03 1.000000000000000e-02
-4.274084201326824e-01 1.008531696996856e-03 1.000000000000000e-02
-4.193426752984496e-01 1.009490383987734e-03 1.000000000000000e-02
-4.112769277166380e-01 1.010451215119258e-03 1.000000000000000e-02
-4.032111773872467e-01 1.011414190393894e-03 1.000000000000000e-02
-3.951454243102732e-01 1.012379309814120e-03 1.000000000000000e-02
-3.870796684857165e-01 1.013346573382409e-03 1.000000000000000e-02
-3.790139099135745e-01 1.014315981101233e-03 1.000000000000000e-02
-3.709481485938463e-01 1.015287532973058e-03 1.000000000000000e-02
-3.628823845265298e-01 1.016261229000365e-03 1.000000000000000e-02
-3.548166177116235e-01 1.017237069185627e-03 1.000000000000000e-02
-3.467508481491258e-01 1.018215053531311e-03 1.000000000000000e-02
